Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_50_15,VGND,li1,13.1100,146.8800,0.000031
FILLER_50_12,VGND,li1,11.7300,146.8800,0.000031
FILLER_50_9,VGND,li1,10.3500,146.8800,0.000031
FILLER_50_6,VGND,li1,8.9700,146.8800,0.000031
FILLER_50_3,VGND,li1,7.5900,146.8800,0.000031
FILLER_49_308,VGND,li1,147.6600,146.8800,0.000178
FILLER_49_305,VGND,li1,146.5100,146.8800,0.000178
FILLER_49_302,VGND,li1,145.1300,146.8800,0.000178
FILLER_49_299,VGND,li1,143.7500,146.8800,0.000178
FILLER_49_296,VGND,li1,142.3700,146.8800,0.000178
FILLER_49_293,VGND,li1,140.9900,146.8800,0.000178
FILLER_49_290,VGND,li1,139.6100,146.8800,0.000178
FILLER_49_287,VGND,li1,138.2300,146.8800,0.000178
FILLER_49_284,VGND,li1,136.8500,146.8800,0.000178
FILLER_49_281,VGND,li1,135.4700,146.8800,0.000178
FILLER_49_278,VGND,li1,133.8600,146.8800,0.000178
FILLER_49_275,VGND,li1,132.7100,146.8800,0.000178
FILLER_49_272,VGND,li1,131.3300,146.8800,0.000178
FILLER_49_269,VGND,li1,129.9500,146.8800,0.000178
FILLER_49_266,VGND,li1,128.5700,146.8800,0.000178
FILLER_49_263,VGND,li1,127.1900,146.8800,0.000178
FILLER_49_260,VGND,li1,125.8100,146.8800,0.000178
FILLER_49_257,VGND,li1,124.4300,146.8800,0.000178
FILLER_49_254,VGND,li1,123.0500,146.8800,0.000178
FILLER_49_251,VGND,li1,121.6700,146.8800,0.000178
FILLER_49_248,VGND,li1,120.2900,146.8800,0.000178
FILLER_49_245,VGND,li1,118.9100,146.8800,0.000178
FILLER_49_242,VGND,li1,117.5300,146.8800,0.000178
FILLER_49_239,VGND,li1,116.1500,146.8800,0.000178
FILLER_49_236,VGND,li1,114.7700,146.8800,0.000178
FILLER_49_233,VGND,li1,113.3900,146.8800,0.000178
FILLER_49_230,VGND,li1,112.0100,146.8800,0.000178
FILLER_49_223,VGND,li1,108.3300,146.8800,0.000177
FILLER_49_220,VGND,li1,107.4100,146.8800,0.000177
FILLER_49_217,VGND,li1,106.0300,146.8800,0.000177
FILLER_49_214,VGND,li1,104.6500,146.8800,0.000177
FILLER_49_182,VGND,li1,89.7000,146.8800,0.000170
FILLER_49_179,VGND,li1,88.5500,146.8800,0.000168
FILLER_49_176,VGND,li1,87.1700,146.8800,0.000168
FILLER_49_167,VGND,li1,82.5700,146.8800,0.000165
FILLER_49_129,VGND,li1,65.0900,146.8800,0.000139
FILLER_49_113,VGND,li1,57.9600,146.8800,0.000123
FILLER_49_98,VGND,li1,51.0600,146.8800,0.000108
FILLER_49_78,VGND,li1,41.6300,146.8800,0.000082
FILLER_49_60,VGND,li1,33.3500,146.8800,0.000060
FILLER_49_57,VGND,li1,32.4300,146.8800,0.000054
FILLER_49_39,VGND,li1,24.1500,146.8800,0.000031
FILLER_49_36,VGND,li1,22.7700,146.8800,0.000031
FILLER_49_33,VGND,li1,21.3900,146.8800,0.000031
FILLER_49_30,VGND,li1,20.0100,146.8800,0.000031
FILLER_49_27,VGND,li1,18.6300,146.8800,0.000031
FILLER_49_24,VGND,li1,17.2500,146.8800,0.000031
FILLER_49_21,VGND,li1,15.8700,146.8800,0.000031
FILLER_49_18,VGND,li1,14.4900,146.8800,0.000031
FILLER_49_15,VGND,li1,13.1100,146.8800,0.000031
FILLER_49_12,VGND,li1,11.7300,146.8800,0.000031
FILLER_49_9,VGND,li1,10.3500,146.8800,0.000031
FILLER_49_6,VGND,li1,8.9700,146.8800,0.000031
FILLER_49_3,VGND,li1,7.5900,146.8800,0.000031
FILLER_48_309,VGND,li1,147.8900,141.4400,0.000196
FILLER_48_307,VGND,li1,146.9700,141.4400,0.000196
FILLER_48_304,VGND,li1,146.0500,141.4400,0.000196
FILLER_48_301,VGND,li1,144.6700,141.4400,0.000196
FILLER_48_298,VGND,li1,143.2900,141.4400,0.000196
FILLER_48_295,VGND,li1,141.9100,141.4400,0.000196
FILLER_48_292,VGND,li1,140.5300,141.4400,0.000196
FILLER_48_289,VGND,li1,139.1500,141.4400,0.000196
FILLER_48_286,VGND,li1,137.7700,141.4400,0.000196
FILLER_48_283,VGND,li1,136.3900,141.4400,0.000196
FILLER_48_280,VGND,li1,135.0100,141.4400,0.000196
FILLER_48_277,VGND,li1,133.6300,141.4400,0.000196
FILLER_48_274,VGND,li1,132.2500,141.4400,0.000196
FILLER_48_271,VGND,li1,130.8700,141.4400,0.000196
FILLER_48_268,VGND,li1,129.4900,141.4400,0.000196
FILLER_48_265,VGND,li1,128.1100,141.4400,0.000196
FILLER_48_262,VGND,li1,126.7300,141.4400,0.000196
FILLER_48_259,VGND,li1,125.3500,141.4400,0.000196
FILLER_48_256,VGND,li1,123.9700,141.4400,0.000196
FILLER_48_253,VGND,li1,122.5900,141.4400,0.000196
FILLER_48_250,VGND,li1,120.9800,141.4400,0.000196
FILLER_48_247,VGND,li1,119.8300,141.4400,0.000196
FILLER_48_234,VGND,li1,113.3900,141.4400,0.000196
FILLER_48_231,VGND,li1,112.4700,141.4400,0.000195
FILLER_48_228,VGND,li1,111.0900,141.4400,0.000195
FILLER_48_225,VGND,li1,109.7100,141.4400,0.000195
FILLER_48_222,VGND,li1,108.3300,141.4400,0.000194
FILLER_48_219,VGND,li1,106.9500,141.4400,0.000194
FILLER_48_216,VGND,li1,105.5700,141.4400,0.000193
FILLER_48_213,VGND,li1,104.1900,141.4400,0.000193
FILLER_48_202,VGND,li1,99.1300,141.4400,0.000190
FILLER_48_194,VGND,li1,95.2200,141.4400,0.000188
FILLER_48_181,VGND,li1,89.2400,141.4400,0.000182
FILLER_48_178,VGND,li1,88.0900,141.4400,0.000182
FILLER_48_175,VGND,li1,86.7100,141.4400,0.000179
FILLER_48_160,VGND,li1,79.3500,141.4400,0.000173
FILLER_48_157,VGND,li1,78.4300,141.4400,0.000171
FILLER_48_141,VGND,li1,70.8400,141.4400,0.000158
FILLER_48_112,VGND,li1,57.5000,141.4400,0.000132
FILLER_48_103,VGND,li1,53.1300,141.4400,0.000122
FILLER_48_83,VGND,li1,43.9300,141.4400,0.000093
FILLER_48_80,VGND,li1,43.0100,141.4400,0.000093
FILLER_48_65,VGND,li1,35.6500,141.4400,0.000069
FILLER_48_62,VGND,li1,34.7300,141.4400,0.000069
FILLER_48_47,VGND,li1,27.6000,141.4400,0.000046
FILLER_48_44,VGND,li1,26.4500,141.4400,0.000040
FILLER_48_41,VGND,li1,25.0700,141.4400,0.000033
FILLER_48_38,VGND,li1,23.6900,141.4400,0.000033
FILLER_48_35,VGND,li1,22.3100,141.4400,0.000033
FILLER_48_32,VGND,li1,20.9300,141.4400,0.000033
FILLER_48_29,VGND,li1,19.5500,141.4400,0.000033
FILLER_48_27,VGND,li1,18.1700,141.4400,0.000033
FILLER_48_24,VGND,li1,17.2500,141.4400,0.000033
FILLER_48_21,VGND,li1,15.8700,141.4400,0.000033
FILLER_48_18,VGND,li1,14.4900,141.4400,0.000033
