Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_49_305,VPWR,li1,146.5100,144.1600,1.799821
FILLER_49_302,VPWR,li1,145.1300,144.1600,1.799821
FILLER_49_299,VPWR,li1,143.7500,144.1600,1.799821
FILLER_49_296,VPWR,li1,142.3700,144.1600,1.799821
FILLER_49_293,VPWR,li1,140.9900,144.1600,1.799821
FILLER_49_290,VPWR,li1,139.6100,144.1600,1.799821
FILLER_49_287,VPWR,li1,138.2300,144.1600,1.799821
FILLER_49_284,VPWR,li1,136.8500,144.1600,1.799821
FILLER_49_281,VPWR,li1,135.4700,144.1600,1.799821
FILLER_49_278,VPWR,li1,133.8600,144.1600,1.799821
FILLER_49_275,VPWR,li1,132.7100,144.1600,1.799821
FILLER_49_272,VPWR,li1,131.3300,144.1600,1.799821
FILLER_49_269,VPWR,li1,129.9500,144.1600,1.799821
FILLER_49_266,VPWR,li1,128.5700,144.1600,1.799821
FILLER_49_263,VPWR,li1,127.1900,144.1600,1.799821
FILLER_49_260,VPWR,li1,125.8100,144.1600,1.799821
FILLER_49_257,VPWR,li1,124.4300,144.1600,1.799821
FILLER_49_254,VPWR,li1,123.0500,144.1600,1.799821
FILLER_49_251,VPWR,li1,121.6700,144.1600,1.799821
FILLER_49_248,VPWR,li1,120.2900,144.1600,1.799821
FILLER_49_245,VPWR,li1,118.9100,144.1600,1.799821
FILLER_49_242,VPWR,li1,117.5300,144.1600,1.799821
FILLER_49_239,VPWR,li1,116.1500,144.1600,1.799821
FILLER_49_236,VPWR,li1,114.7700,144.1600,1.799821
FILLER_49_233,VPWR,li1,113.3900,144.1600,1.799821
FILLER_49_230,VPWR,li1,112.0100,144.1600,1.799821
FILLER_49_223,VPWR,li1,108.3300,144.1600,1.799822
FILLER_49_220,VPWR,li1,107.4100,144.1600,1.799822
FILLER_49_217,VPWR,li1,106.0300,144.1600,1.799822
FILLER_49_214,VPWR,li1,104.6500,144.1600,1.799822
FILLER_49_182,VPWR,li1,89.7000,144.1600,1.799827
FILLER_49_179,VPWR,li1,88.5500,144.1600,1.799827
FILLER_49_176,VPWR,li1,87.1700,144.1600,1.799828
FILLER_49_167,VPWR,li1,82.5700,144.1600,1.799831
FILLER_49_129,VPWR,li1,65.0900,144.1600,1.799858
FILLER_49_113,VPWR,li1,57.9600,144.1600,1.799872
FILLER_49_98,VPWR,li1,51.0600,144.1600,1.799887
FILLER_49_78,VPWR,li1,41.6300,144.1600,1.799915
FILLER_49_60,VPWR,li1,33.3500,144.1600,1.799934
FILLER_49_57,VPWR,li1,32.4300,144.1600,1.799941
FILLER_49_39,VPWR,li1,24.1500,144.1600,1.799963
FILLER_49_36,VPWR,li1,22.7700,144.1600,1.799970
FILLER_49_33,VPWR,li1,21.3900,144.1600,1.799970
FILLER_49_30,VPWR,li1,20.0100,144.1600,1.799970
FILLER_49_27,VPWR,li1,18.6300,144.1600,1.799970
FILLER_49_24,VPWR,li1,17.2500,144.1600,1.799970
FILLER_49_21,VPWR,li1,15.8700,144.1600,1.799970
FILLER_49_18,VPWR,li1,14.4900,144.1600,1.799970
FILLER_49_15,VPWR,li1,13.1100,144.1600,1.799970
FILLER_49_12,VPWR,li1,11.7300,144.1600,1.799970
FILLER_49_9,VPWR,li1,10.3500,144.1600,1.799970
FILLER_49_6,VPWR,li1,8.9700,144.1600,1.799970
FILLER_49_3,VPWR,li1,7.5900,144.1600,1.799970
