Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_114_41,VPWR,li1,25.0700,323.6800,1.799967
FILLER_114_38,VPWR,li1,23.6900,323.6800,1.799967
FILLER_114_35,VPWR,li1,22.3100,323.6800,1.799972
FILLER_114_32,VPWR,li1,20.9300,323.6800,1.799972
FILLER_114_29,VPWR,li1,19.5500,323.6800,1.799972
FILLER_114_27,VPWR,li1,18.1700,323.6800,1.799972
FILLER_114_24,VPWR,li1,17.2500,323.6800,1.799972
FILLER_114_21,VPWR,li1,15.8700,323.6800,1.799972
FILLER_114_18,VPWR,li1,14.4900,323.6800,1.799972
FILLER_114_15,VPWR,li1,13.1100,323.6800,1.799972
FILLER_114_12,VPWR,li1,11.7300,323.6800,1.799972
FILLER_114_9,VPWR,li1,10.3500,323.6800,1.799972
FILLER_114_6,VPWR,li1,8.9700,323.6800,1.799972
FILLER_114_3,VPWR,li1,7.5900,323.6800,1.799972
FILLER_113_685,VPWR,li1,321.3100,318.2400,1.799326
FILLER_113_682,VPWR,li1,319.9300,318.2400,1.799326
FILLER_113_679,VPWR,li1,318.5500,318.2400,1.799326
FILLER_113_676,VPWR,li1,317.1700,318.2400,1.799326
FILLER_113_673,VPWR,li1,315.7900,318.2400,1.799326
FILLER_113_671,VPWR,li1,314.4100,318.2400,1.799326
FILLER_113_668,VPWR,li1,313.4900,318.2400,1.799326
FILLER_113_665,VPWR,li1,312.1100,318.2400,1.799326
FILLER_113_662,VPWR,li1,310.7300,318.2400,1.799326
FILLER_113_659,VPWR,li1,309.3500,318.2400,1.799326
FILLER_113_656,VPWR,li1,307.9700,318.2400,1.799326
FILLER_113_653,VPWR,li1,306.5900,318.2400,1.799326
FILLER_113_650,VPWR,li1,305.2100,318.2400,1.799326
FILLER_113_647,VPWR,li1,303.8300,318.2400,1.799326
FILLER_113_644,VPWR,li1,302.4500,318.2400,1.799326
FILLER_113_641,VPWR,li1,301.0700,318.2400,1.799326
FILLER_113_638,VPWR,li1,299.6900,318.2400,1.799326
FILLER_113_635,VPWR,li1,298.3100,318.2400,1.799326
FILLER_113_632,VPWR,li1,296.9300,318.2400,1.799326
FILLER_113_629,VPWR,li1,295.5500,318.2400,1.799326
FILLER_113_626,VPWR,li1,294.1700,318.2400,1.799326
FILLER_113_623,VPWR,li1,292.7900,318.2400,1.799326
FILLER_113_620,VPWR,li1,291.4100,318.2400,1.799326
FILLER_113_617,VPWR,li1,290.0300,318.2400,1.799326
FILLER_113_614,VPWR,li1,288.4200,318.2400,1.799326
FILLER_113_611,VPWR,li1,287.2700,318.2400,1.799326
FILLER_113_608,VPWR,li1,285.8900,318.2400,1.799326
FILLER_113_605,VPWR,li1,284.5100,318.2400,1.799326
FILLER_113_602,VPWR,li1,283.1300,318.2400,1.799326
FILLER_113_599,VPWR,li1,281.7500,318.2400,1.799326
FILLER_113_596,VPWR,li1,280.3700,318.2400,1.799326
FILLER_113_593,VPWR,li1,278.9900,318.2400,1.799326
FILLER_113_590,VPWR,li1,277.6100,318.2400,1.799326
FILLER_113_587,VPWR,li1,276.2300,318.2400,1.799326
FILLER_113_584,VPWR,li1,274.8500,318.2400,1.799326
FILLER_113_581,VPWR,li1,273.4700,318.2400,1.799326
