net,length_um
net927,137.87µm
net366,137.66µm
net23,137.5µm
net656,136.69µm
net987,136.62µm
net970,136.39µm
net89,136.38µm
net972,136.25µm
net966,136.14µm
net272,135.81µm
net38,135.72µm
net129,135.29µm
net497,135.245µm
net1123,135.24µm
net945,135.18µm
_2461_,134.52µm
net1085,134.44µm
net995,134.36µm
net708,134.3µm
net692,134.28µm
net898,133.17µm
net903,132.89µm
net123,132.78µm
net501,132.64µm
net774,132.58µm
_2451_,131.74µm
net951,131.4µm
net795,131.35µm
net31,131.3µm
net155,130.92µm
net295,130.46µm
net425,130.225µm
net752,129.83µm
net958,129.65µm
net850,129.58µm
net480,129.355µm
net845,129.18µm
net756,129.08µm
net1099,128.78µm
net461,128.66µm
net1033,128.38µm
net912,128.16µm
net433,128.105µm
net968,128.06µm
net224,127.73µm
net135,127.58µm
net436,127.58µm
net717,127.535µm
net251,127.18µm
net916,127.1µm
net703,126.65µm
net427,126.445µm
net896,125.46µm
net742,125.36µm
net44,124.9µm
net879,124.82µm
net1027,124.74µm
net843,124.69µm
net638,124.62µm
net1064,124.3µm
net522,124.035µm
net359,123.91µm
net514,123.855µm
net263,123.8µm
net887,123.17µm
net885,123.125µm
net404,123.075µm
net620,123.065µm
net785,123.01µm
net289,121.92µm
net867,121.79µm
net280,121.54µm
clknet_leaf_45_clk,121.46µm
net237,121.28µm
net202,120.81µm
net270,120.56µm
net812,120.31µm
net1107,120.22µm
net509,120.2µm
net957,119.85µm
net1069,119.63µm
net1009,119.58µm
_2479_,119.38µm
net976,119.375µm
net889,119.07µm
net615,119.06µm
net901,118.89µm
clknet_leaf_17_clk,117.78µm
net873,117.44µm
net838,117.21µm
net816,116.97µm
net948,116.7µm
net312,116.46µm
net894,116.09µm
net423,115.92µm
net947,115.88µm
net388,115.75µm
net883,115.575µm
net861,115.56µm
net905,115.54µm
net648,115.05µm
net907,114.86µm
net621,114.82µm
net5,114.365µm
net943,113.58µm
net989,113.34µm
net326,113.25µm
net25,112.88µm
net985,112.595µm
net48,111.91µm
net713,111.785µm
net1093,111.65µm
net877,111.6µm
net967,111.6µm
net921,111.46µm
net819,110.91µm
net1074,110.9µm
net762,110.72µm
net627,110.52µm
net986,110.515µm
net303,110.48µm
net840,110.08µm
net835,109.99µm
net953,109.845µm
_1511_,109.68µm
net906,109.38µm
net941,109.18µm
net982,109.1µm
net960,109.02µm
net552,109µm
_1025_,108.46µm
net478,108.315µm
net865,108.14µm
net924,107.94µm
net247,107.87µm
clknet_leaf_85_clk,107.52µm
net57,107.28µm
net830,107.26µm
clknet_leaf_101_clk,106.615µm
net788,106.56µm
net1032,106.46µm
net256,106.33µm
net1125,106.24µm
_2471_,105.95µm
clknet_leaf_16_clk,105.93µm
net1108,105.91µm
clknet_leaf_70_clk,105.66µm
net893,105.47µm
_1998_,105.44µm
net315,105.39µm
net800,105.22µm
clknet_leaf_59_clk,105.18µm
net809,104.8µm
net744,104.75µm
net818,104.64µm
net956,104.545µm
net773,104.5µm
net784,104.42µm
net859,104.4µm
net1072,104.21µm
net926,104.035µm
clknet_leaf_38_clk,103.96µm
net796,103.81µm
net977,103.46µm
net4,103.4µm
clknet_leaf_39_clk,103.36µm
clknet_leaf_66_clk,103.28µm
_1922_,103.26µm
net1118,103.15µm
_1311_,103.12µm
net1096,103.11µm
clknet_leaf_64_clk,103.08µm
net975,103.02µm
net1087,102.95µm
net988,102.82µm
net895,102.775µm
net755,102.6µm
_1027_,102.43µm
net857,102.36µm
net549,101.82µm
clknet_leaf_82_clk,101.78µm
net841,101.61µm
clknet_leaf_57_clk,101.44µm
net52,101.42µm
net910,101.37µm
clknet_leaf_100_clk,101µm
net790,100.76µm
net826,100.64µm
clknet_leaf_18_clk,100.47µm
clknet_leaf_49_clk,100.355µm
net871,100.24µm
net984,99.91µm
net1116,99.82µm
clknet_leaf_99_clk,99.56µm
net870,99.48µm
_2476_,99.36µm
net759,99.32µm
net345,99.24µm
net875,99.06µm
clknet_leaf_27_clk,98.84µm
net799,98.56µm
net105,98.46µm
clknet_leaf_31_clk,98.27µm
net1031,98.17µm
net919,98.04µm
net1089,97.77µm
net722,97.72µm
net823,97.63µm
net1130,97.62µm
_1206_,97.36µm
net232,97.06µm
net1058,96.76µm
net793,96.71µm
clknet_leaf_79_clk,96.7µm
clknet_leaf_26_clk,96.6µm
net834,96.56µm
net28,96.44µm
net1114,96.39µm
net954,96.2µm
net820,95.68µm
clknet_leaf_24_clk,95.24µm
net1076,95.22µm
clknet_leaf_44_clk,95.18µm
net530,95.115µm
net42,94.96µm
net1112,94.85µm
net881,94.8µm
clknet_leaf_14_clk,94.695µm
net852,94.6µm
clknet_leaf_50_clk,94.355µm
net847,93.98µm
net470,93.86µm
net732,93.755µm
clknet_leaf_87_clk,93.72µm
clknet_leaf_95_clk,92.9µm
net1071,92.63µm
clknet_leaf_65_clk,92.46µm
clknet_leaf_71_clk,91.96µm
clknet_leaf_15_clk,91.85µm
net278,91.77µm
net120,91.68µm
net1101,91.67µm
clknet_leaf_61_clk,91.655µm
net930,91.62µm
net974,91.58µm
clknet_leaf_103_clk,91.42µm
net686,91.3µm
net766,91.3µm
clknet_leaf_80_clk,90.82µm
net537,90.655µm
net1,90.52µm
clknet_leaf_74_clk,90.48µm
net805,90.44µm
net961,90.28µm
net1042,90.04µm
clknet_leaf_84_clk,89.86µm
net539,89.815µm
clknet_leaf_35_clk,89.66µm
net1001,89.56µm
clknet_leaf_1_clk,89.52µm
net1127,89.51µm
net1103,89.37µm
clknet_leaf_12_clk,89.32µm
net309,89.29µm
net684,89.2µm
net935,89.16µm
net1082,89.13µm
clknet_leaf_20_clk,89.1µm
net814,88.8µm
net913,88.75µm
net35,88.68µm
net1091,88.58µm
net828,88.5µm
clknet_leaf_11_clk,88.48µm
_1376_,88.34µm
net869,88.12µm
net321,88.1µm
clknet_leaf_92_clk,88.02µm
_1436_,88.01µm
net1104,87.66µm
net241,87.6µm
net980,87.36µm
net49,87.28µm
net82,86.94µm
net1039,86.94µm
net831,86.92µm
net1029,86.64µm
net797,86.42µm
net962,86.34µm
clknet_leaf_97_clk,86.18µm
net922,86.12µm
clknet_leaf_52_clk,86.02µm
clknet_leaf_41_clk,85.92µm
net1119,85.68µm
net911,85.47µm
clknet_leaf_37_clk,85.42µm
clknet_leaf_0_clk,84.88µm
net791,84.81µm
clknet_leaf_77_clk,84.72µm
net915,84.42µm
net813,84.35µm
clknet_leaf_3_clk,84.34µm
net458,83.98µm
clknet_leaf_25_clk,83.97µm
clknet_leaf_90_clk,83.825µm
net1057,83.71µm
net1083,83.68µm
net1006,83.62µm
net810,83.61µm
net1065,83.59µm
_1035_,83.35µm
net9,83.35µm
net606,83.07µm
clknet_leaf_23_clk,83.06µm
clknet_leaf_9_clk,82.955µm
net786,82.92µm
clknet_leaf_43_clk,82.88µm
clknet_leaf_68_clk,82.82µm
_1724_,82.76µm
clknet_leaf_69_clk,82.76µm
net1120,82.73µm
net26,82.4µm
clknet_leaf_86_clk,82.32µm
net1131,82.26µm
net1115,82.24µm
net853,82.03µm
clknet_leaf_98_clk,81.92µm
net1061,81.76µm
net892,81.44µm
clknet_leaf_33_clk,81.26µm
_1032_,81.04µm
_1403_,80.84µm
clknet_leaf_78_clk,80.82µm
net102,80.74µm
clknet_leaf_58_clk,80.54µm
net878,80.52µm
clknet_leaf_67_clk,80.47µm
_1972_,80.44µm
_2397_,80.43µm
net1111,80.43µm
clknet_leaf_53_clk,80.3µm
